AÑO,MES,UBIGEO_HECHO,DPTO_HECHO,PROV_HECHO,DIST_HECHO,SEXO,RANGO_EDAD,NACIONALIDAD,CANTIDAD
2021,06,120114,JUNÍN,HUANCAYO,EL TAMBO,M,60 A MAS AÑOS,PERÚ,1
2022,06,081301,CUSCO,URUBAMBA,URUBAMBA,M,30-59 AÑOS,PERÚ,1
2019,01,150509,REGIÓN LIMA,CAÑETE,MALA,F,12-17 AÑOS,PERÚ,2
2023,12,040123,AREQUIPA,AREQUIPA,TIABAYA,F,18-29 AÑOS,PERÚ,1
2022,11,030506,APURIMAC,COTABAMBAS,CHALLHUAHUACHO,F,12-17 AÑOS,PERÚ,1
2024,01,150110,LIMA METROPOLITANA,LIMA,COMAS,F,12-17 AÑOS,VENEZUELA,2
2023,06,090101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,F,12-17 AÑOS,PERÚ,4
2024,11,140304,LAMBAYEQUE,LAMBAYEQUE,JAYANCA,F,18-29 AÑOS,PERÚ,1
2019,02,040201,AREQUIPA,CAMANA,CAMANA,M,30-59 AÑOS,PERÚ,1
2020,08,150115,LIMA METROPOLITANA,LIMA,LA VICTORIA,M,18-29 AÑOS,PERÚ,1
2020,11,120125,JUNÍN,HUANCAYO,PILCOMAYO,F,12-17 AÑOS,PERÚ,2
2019,10,250105,UCAYALI,CORONEL PORTILLO,YARINACOCHA,F,18-29 AÑOS,PERÚ,2
2024,12,200405,PIURA,MORROPON,MORROPON,M,12-17 AÑOS,PERÚ,1
2025,02,150123,LIMA METROPOLITANA,LIMA,PACHACAMAC,M,12-17 AÑOS,PERÚ,2
2021,12,200601,PIURA,SULLANA,SULLANA,F,30-59 AÑOS,PERÚ,1
2019,08,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,M,18-29 AÑOS,PERÚ,5
2019,12,150105,LIMA METROPOLITANA,LIMA,BREÑA,F,60 A MAS AÑOS,PERÚ,1
2023,06,150132,LIMA METROPOLITANA,LIMA,SAN JUAN DE LURIGANCHO,F,30-59 AÑOS,PERÚ,2
2020,12,150113,LIMA METROPOLITANA,LIMA,JESUS MARIA,F,30-59 AÑOS,PERÚ,2
2024,02,120301,JUNÍN,CHANCHAMAYO,CHANCHAMAYO,M,12-17 AÑOS,PERÚ,1
2025,10,081301,CUSCO,URUBAMBA,URUBAMBA,M,12-17 AÑOS,PERÚ,1
2022,05,150137,LIMA METROPOLITANA,LIMA,SANTA ANITA,F,30-59 AÑOS,PERÚ,1
2021,09,160108,LORETO,MAYNAS,PUNCHANA,F,12-17 AÑOS,PERÚ,2
2019,10,150116,LIMA METROPOLITANA,LIMA,LINCE,M,60 A MAS AÑOS,PERÚ,2
2025,06,110207,ICA,CHINCHA,PUEBLO NUEVO,M,12-17 AÑOS,PERÚ,1
2020,08,150101,LIMA METROPOLITANA,LIMA,LIMA,M,,PERÚ,1
2019,07,120107,JUNÍN,HUANCAYO,CHILCA,M,30-59 AÑOS,PERÚ,5
2020,07,220901,SAN MARTÍN,SAN MARTIN,TARAPOTO,F,12-17 AÑOS,PERÚ,2
2020,10,150108,LIMA METROPOLITANA,LIMA,CHORRILLOS,M,30-59 AÑOS,PERÚ,1
2021,04,081206,CUSCO,QUISPICANCHI,CUSIPATA,M,18-29 AÑOS,PERÚ,1
2024,01,200801,PIURA,SECHURA,SECHURA,F,12-17 AÑOS,PERÚ,2
2024,05,060110,CAJAMARCA,CAJAMARCA,MATARA,M,30-59 AÑOS,PERÚ,1
2021,11,050108,AYACUCHO,HUAMANGA,QUINUA,F,12-17 AÑOS,PERÚ,1
